Overall,Social,Economic,Random ID,BFI_extraversion,BFI_agreeableness,BFI_conscientiousness,BFI_emot_stability,BFI_openness,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emot_stability,TIPI_openness,BFI10_1,BFI10_2,BFI10_3,BFI10_4,BFI10_5,BFI10_6,BFI10_7,BFI10_8,BFI10_9,BFI10_10,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10
1,1,1,59406,4,2.5,3,2.5,5,5.5,6,5.5,5,6,4,4,1,3,5,4,1,5,2,5,5,6,5,5,6,6,6,6,5,6
3,2,4,91066,3,2.5,5,5,3.5,5.5,5.5,7,6.5,6,2,2,5,5,5,4,3,5,5,2,5,4,7,6,6,6,7,7,7,6
2,3,2,95064,3,2,3,4,5,4.5,5,6,5,7,2,2,2,5,5,4,2,4,3,5,6,3,7,3,7,3,7,5,7,7
2,2,2,46441,4,3,3.5,3.5,4,5,5,5,5,5,4,2,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5
2,2,2,49777,4,2,4,1,5,6,5,5,3.5,7,3,1,4,1,5,5,3,4,1,5,5,3,7,2,7,7,7,3,5,7
2,2,2,58909,4,2.5,3.5,4,2,5.5,4.5,6.5,5.5,4,4,3,3,5,1,4,2,4,3,3,5,4,6,5,5,6,5,7,6,3
1,1,1,77890,4.5,3.5,2,2,3,6,4,1.5,2,3,5,5,2,2,2,4,2,2,2,4,5,2,2,3,3,7,6,1,1,3
3,3,3,82488,3,3,4.5,3.5,3,4,4,6.5,4.5,5,2,4,4,4,3,4,2,5,3,3,5,2,7,4,6,3,6,6,5,4
4,3,2,94932,3.5,4.5,3.5,2.5,4,4.5,5.5,5.5,4.5,5.5,4,5,3,4,4,3,4,4,1,4,5,4,5,4,6,4,7,6,5,5
2,1,2,21301,4.5,5,3.5,3,3,5.5,5,5,5.5,6,4,5,4,4,4,5,5,3,2,2,6,3,5,5,7,5,7,5,6,5
2,2,2,67004,2.5,3.5,3.5,3,4.5,3.5,4.5,7,5.5,5,2,5,2,4,4,3,2,5,2,5,5,3,7,6,5,2,6,7,5,5
2,2,2,23850,4.5,3,3.5,3.5,4.5,7,6,5.5,4,4.5,4,4,2,4,5,5,2,5,3,4,7,6,5,3,6,7,6,6,5,3
3,2,3,54287,5,2.5,4.5,3,4.5,6,4.5,7,4,5.5,5,2,4,4,5,5,3,5,2,4,6,2,7,3,6,6,7,7,5,5
2,2,2,23264,3.5,3.5,3.5,3,2,5.5,4.5,5.5,3,5,3,4,4,3,2,4,3,3,3,2,6,4,6,2,6,5,5,5,4,4
2,2,4,28871,3,4,3,4,4.5,4,5,4,4,5,2,4,2,4,5,4,4,4,4,4,5,5,3,3,5,3,5,5,5,5
2,1,2,18907,2,4,5,4.5,2,3,6.5,7,6.5,4,2,4,5,5,2,2,4,5,4,2,3,6,7,6,5,3,7,7,7,3
2,1,1,39711,2,2.5,3.5,1.5,5,4,5,5,2.5,6,2,4,2,2,5,2,1,5,1,5,3,3,5,2,7,5,7,5,3,5
2,2,2,46074,2,5,5,3,2.5,4,5,7,6,6,2,5,5,4,2,2,5,5,2,3,3,4,7,6,6,5,6,7,6,6
2,1,2,17431,4.5,4,4,3.5,3,6,5,6,5.5,5,4,4,3,4,2,5,4,5,3,4,6,3,5,5,6,6,7,7,6,4
2,1,2,40641,5,3.5,4,2.5,3.5,6.5,4.5,5.5,4,5,5,4,4,3,2,5,3,4,2,5,7,3,6,5,7,6,6,5,3,3
2,1,3,96757,5,4,5,3,4,6,5.5,7,5.5,5.5,5,4,5,3,4,5,4,5,3,4,6,5,7,5,6,6,6,7,6,5
2,1,2,60906,4,5,4.5,3,3,6,6,6.5,5.5,5,4,5,4,4,2,4,5,5,2,4,6,6,6,5,7,6,6,7,6,3
3,2,2,75160,3.5,4,4,3.5,3.5,5.5,5.5,6.5,5,5.5,3,5,4,4,3,4,3,4,3,4,5,5,7,4,6,6,6,6,6,5
2,2,2,21958,3.5,3.5,4,3.5,2,5.5,5.5,5,3,4.5,4,4,4,3,2,3,3,4,4,2,6,5,6,3,7,5,6,4,3,2
1,1,1,51307,4.5,4,3,1,2.5,6,6.5,6,2.5,4.5,5,4,3,1,2,4,4,3,1,3,6,6,6,2,6,6,7,6,3,3
2,1,2,35802,4.5,4.5,4.5,3.5,4,6.5,5,5.5,5.5,6,4,5,4,3,4,5,4,5,4,4,6,5,6,5,6,7,5,5,6,6
1,1,2,94434,3,3.5,4.5,1.5,4.5,4.5,7,5.5,3,6,2,4,4,2,5,4,3,5,1,4,6,7,6,1,6,3,7,5,5,6
3,3,2,49618,3,3,4,5,3.5,6,5.5,5.5,6.5,6,2,2,4,5,3,4,4,4,5,4,6,5,6,7,6,6,6,5,6,6
2,2,2,13576,3.5,4,3.5,2,2,4.5,5,6.5,3.5,4,3,5,2,3,2,4,3,5,1,2,5,3,7,3,5,4,7,6,4,3
3,2,4,26212,2,4,4,3,3,3,6,6.5,5.5,5,1,4,4,4,2,3,4,4,2,4,3,7,7,5,6,3,5,6,6,4
2,2,3,11596,5,4,4.5,4,2,6.5,5.5,4.5,4,5.5,5,4,5,4,2,5,4,4,4,2,7,5,6,3,5,6,6,3,5,6
2,2,3,55257,2,3.5,4.5,2,2.5,2.5,4.5,7,4.5,4,1,4,5,2,1,3,3,4,2,4,3,3,7,3,5,2,6,7,6,3
5,5,4,49039,1.5,3.5,2,2,4,1,3.5,2,4,3.5,2,4,2,2,3,1,3,2,2,5,1,5,2,3,1,1,2,2,5,6
3,2,4,76486,3,4.5,2,3,3.5,2.5,5.5,5,6.5,2.5,2,5,2,4,5,4,4,2,2,2,2,6,6,6,3,3,5,4,7,2
1,1,1,12441,3,4,4.5,4.5,4.5,6,6.5,7,3.5,5.5,2,4,5,5,5,4,4,4,4,4,6,6,7,3,6,6,7,7,4,5
1,1,1,47158,4.5,3.5,2,3,3.5,5.5,5,2.5,4,6,4,5,2,4,4,5,2,2,2,3,6,3,3,4,6,5,7,2,4,6
1,1,1,93344,3.5,3,3.5,2.5,4,5,4.5,3,3.5,6,4,3,4,2,4,3,3,3,3,4,4,3,3,4,6,6,6,3,3,6
3,1,3,27713,5,2,2.5,1.5,4,5.5,4,5,2.5,4.5,5,2,2,1,3,5,2,3,2,5,5,2,4,3,5,6,6,6,2,4
2,1,2,44724,5,3.5,4,3,5,7,4.5,5.5,5,7,5,5,4,4,5,5,2,4,2,5,7,2,5,5,7,7,7,6,5,7
2,1,2,92866,4.5,2.5,2.5,2,4,6,4.5,4,3.5,4,4,2,2,2,5,5,3,3,2,3,6,2,3,3,6,6,7,5,4,2
2,2,1,23212,5,3.5,5,4,3,7,5.5,7,6.5,5,5,4,5,3,1,5,3,5,5,5,7,4,7,6,7,7,7,7,7,3
3,3,3,77949,5,5,5,5,5,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7
