Treated,ClosestParty,strongPARTISAN,ControlScenario_1,ControlScenario_2,ControlScenario_3,TreatmentScenario _1,TreatmentScenario _2,TreatmentScenario _3,RepublicanAffect_1,RepublicanAffect_2,RepublicanAffect_3,RepublicanAffect_4,DemocraticAffect_1,DemocraticAffect_2,DemocraticAffect_3,DemocraticAffect_4,RepublicanIdentity_1,RepublicanIdentity_2,RepublicanIdentity_3,RepublicanIdentity_4,DemocraticIdentity_1,DemocraticIdentity_2,DemocraticIdentity_3,DemocraticIdentity_4,gender,college_stats,year,US,InPartyAffect_1,InPartyAffect_2,InPartyAffect_3,InPartyAffect_4,InPartyAffect_avg,OutPartyAffect_1,OutPartyAffect_2,OutPartyAffect_3,OutPartyAffect_4,OutPartyAffect_avg,InPartyIdentity_1,InPartyIdentity_2,InPartyIdentity_3,InPartyIdentity_4,InPartyIdentity_avg,OutPartyIdentity_1,OutPartyIdentity_2,OutPartyIdentity_3,OutPartyIdentity_4,OutPartyIdentity_avg,AffectDiff_1,AffectDiff_2,AffectDiff_3,AffectDiff_4,AffectDiff_avg,IdentityDiff_1,IdentityDiff_2,IdentityDiff_3,IdentityDiff_4,IdentityDiff_avg
TRUE,the Democratic Party,TRUE,NA,NA,NA,How their day is going,Where they’re traveling to,Sports/running/common interest,4,4,4,4,5,5,5,5,4,4,4,4,5,5,5,5,Man,TRUE,4,TRUE,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1
TRUE,the Democratic Party,TRUE,NA,NA,NA,our destinations,our jobs + plans for the day,"the state of Boston, maybe even Boston politics",2,2,4,3,6,6,5,6,3,4,2,3,3,6,4,5,Woman,TRUE,2,TRUE,6,6,5,6,5.75,2,2,4,3,2.75,3,6,4,5,4.5,3,4,2,3,3,4,4,1,3,3,0,2,2,2,1.5
FALSE,the Democratic Party,FALSE,I imagine seeing multiple trees in all of the fall colors. I will see the full eastcoast fall,I will also see (once we get a bit further away) small farms where you can buy homegrown products and maybe even find your own pumkins,Lastly I think I will see houses with more space between them. They will have bigger plots and bigger yards where the kids can play,NA,NA,NA,3,4,4,5,2,4,4,3,3,5,3,4,6,5,6,4,Woman,TRUE,4,FALSE,2,4,4,3,3.25,3,4,4,5,4,6,5,6,4,5.25,3,5,3,4,3.75,-1,0,0,-2,-0.75,3,0,3,0,1.5
FALSE,the Democratic Party,TRUE,Autumn foliage,Old buildings,Bridges,NA,NA,NA,2,4,3,4,6,6,5,6,3,4,3,3,6,5,3,5,Woman,TRUE,4,NA,6,6,5,6,5.75,2,4,3,4,3.25,6,5,3,5,4.75,3,4,3,3,3.25,4,2,2,2,2.5,3,1,0,2,1.5
FALSE,the Democratic Party,FALSE,Cars of busy Boston traffic next to us,Blue patterned dated seat in front of me,"Bright blue sky, few clouds, with distant green landscape",NA,NA,NA,6,5,4,4,NA,NA,NA,NA,3,6,6,6,6,6,6,6,Woman,FALSE,2,TRUE,NA,NA,NA,NA,NA,6,5,4,4,4.75,6,6,6,6,6,3,6,6,6,5.25,NA,NA,NA,NA,NA,3,0,0,0,0.75
TRUE,the Democratic Party,TRUE,NA,NA,NA,"How our sports teams are doing in the NFL, MLB, and NBA",Where we went to school/where we study now,What it's like living in Boston,2,4,3,3,6,6,6,6,2,4,6,5,6,5,4,6,Man,TRUE,3,TRUE,6,6,6,6,6,2,4,3,3,3,6,5,4,6,5.25,2,4,6,5,4.25,4,2,3,3,3,4,1,-2,1,1
TRUE,the Democratic Party,FALSE,NA,NA,NA,economy,political leaders,tariffs and taxes,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,Woman,TRUE,3,FALSE,5,5,5,5,5,4,4,4,5,4.25,4,4,4,4,4,4,4,4,4,4,1,1,1,0,0.75,0,0,0,0,0
TRUE,the Democratic Party,TRUE,NA,NA,NA,Immigration,Authoritarianism,Economy,3,3,3,3,5,5,4,4,3,3,3,4,5,5,5,4,Woman,TRUE,4,FALSE,5,5,4,4,4.5,3,3,3,3,3,5,5,5,4,4.75,3,3,3,4,3.25,2,2,1,1,1.5,2,2,2,0,1.5
FALSE,the Democratic Party,TRUE,Fall foliage,Beach,Lively farmer's market,NA,NA,NA,1,2,2,4,6,6,5,5,1,2,2,3,6,6,3,7,Woman,FALSE,3,TRUE,6,6,5,5,5.5,1,2,2,4,2.25,6,6,3,7,5.5,1,2,2,3,2,5,4,3,1,3.25,5,4,1,4,3.5
TRUE,the Democratic Party,TRUE,NA,NA,NA,Gas prices,Government shutdown,Social media,1,2,1,1,7,7,7,7,1,3,1,4,5,6,4,4,Woman,TRUE,4,TRUE,7,7,7,7,7,1,2,1,1,1.25,5,6,4,4,4.75,1,3,1,4,2.25,6,5,6,6,5.75,4,3,3,0,2.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,"The Boston Bus system, or more specifically, why we do or don't like Boston public transportation","Where we are from, how we ended up in Boston","Our plans for the day, or in other words, why we are taking the bus to begin with",4,4,4,4,6,5,4,4,2,4,4,4,6,6,4,5,NA,NA,NA,NA,6,5,4,4,4.75,4,4,4,4,4,6,6,4,5,5.25,2,4,4,4,3.5,2,1,0,0,0.75,4,2,0,1,1.75
FALSE,the Democratic Party,TRUE,fall foliage,lakes,mountains,NA,NA,NA,5,5,3,3,6,6,6,7,3,5,4,3,4,6,5,6,Woman,TRUE,2,TRUE,6,6,6,7,6.25,5,5,3,3,4,4,6,5,6,5.25,3,5,4,3,3.75,1,1,3,4,2.25,1,1,1,3,1.5
TRUE,the Democratic Party,TRUE,NA,NA,NA,Weather,Transit Issues,Sports,3,3,3,4,5,5,5,5,2,2,2,2,6,6,6,6,Man,FALSE,4,FALSE,5,5,5,5,5,3,3,3,4,3.25,6,6,6,6,6,2,2,2,2,2,2,2,2,1,1.75,4,4,4,4,4
TRUE,the Democratic Party,FALSE,NA,NA,NA,Funding for schools,How their day is going,Their family life,4,3,3,4,5,5,4,4,2,6,2,4,6,3,2,4,Man,TRUE,3,TRUE,5,5,4,4,4.5,4,3,3,4,3.5,6,3,2,4,3.75,2,6,2,4,3.5,1,2,1,0,1,4,-3,0,0,0.25
TRUE,the Democratic Party,FALSE,NA,NA,NA,Where are you from/background,Donald Trump's presidency,Harvard vs. Trump,2,2,3,3,5,5,4,5,3,3,2,2,3,5,3,4,Man,TRUE,3,TRUE,5,5,4,5,4.75,2,2,3,3,2.5,3,5,3,4,3.75,3,3,2,2,2.5,3,3,1,2,2.25,0,2,1,2,1.25
FALSE,the Democratic Party,FALSE,Fall leaves/trees,Road signs,Cars,NA,NA,NA,2,2,2,3,4,5,5,5,3,4,2,3,5,5,3,5,NA,NA,NA,NA,4,5,5,5,4.75,2,2,2,3,2.25,5,5,3,5,4.5,3,4,2,3,3,2,3,3,2,2.5,2,1,1,2,1.5
FALSE,the Democratic Party,FALSE,Many colorful trees,Bodies of water,Sunshine,NA,NA,NA,4,4,4,4,6,6,6,6,3,4,3,4,5,5,5,5,Woman,TRUE,3,TRUE,6,6,6,6,6,4,4,4,4,4,5,5,5,5,5,3,4,3,4,3.5,2,2,2,2,2,2,1,2,1,1.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,Sports,School,Living,5,5,5,5,6,6,6,7,2,5,3,5,6,6,6,6,NA,NA,NA,NA,6,6,6,7,6.25,5,5,5,5,5,6,6,6,6,6,2,5,3,5,3.75,1,1,1,2,1.25,4,1,3,1,2.25
FALSE,the Democratic Party,FALSE,A pond with multiple wooden houses on its waterfront,A strangely constructed intersection that is not formed of right angles,Two grandparents walking with their grandkids along the road enjoying the foliage,NA,NA,NA,3,3,4,4,5,4,4,4,4,3,3,3,3,5,3,5,NA,NA,NA,NA,5,4,4,4,4.25,3,3,4,4,3.5,3,5,3,5,4,4,3,3,3,3.25,2,1,0,0,0.75,-1,2,0,2,0.75
FALSE,the Democratic Party,FALSE,The changing autumn leaves,Cars driving as quick as the train to the sides so it feels like you aren’t moving at all,Houses going by and people watching for a split second,NA,NA,NA,2,2,3,3,4,4,5,5,3,2,4,2,5,5,2,5,Man,TRUE,4,TRUE,4,4,5,5,4.5,2,2,3,3,2.5,5,5,2,5,4.25,3,2,4,2,2.75,2,2,2,2,2,2,3,-2,3,1.5
FALSE,the Democratic Party,TRUE,beautiful fall trees,colourful wooden houses,old handmade stone walls,NA,NA,NA,3,3,2,2,4,4,4,4,1,4,3,3,3,5,4,5,Woman,FALSE,4,FALSE,4,4,4,4,4,3,3,2,2,2.5,3,5,4,5,4.25,1,4,3,3,2.75,1,1,2,2,1.5,2,1,1,2,1.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,Trump,Social safety net,Gun rights,4,4,4,4,4,4,4,4,3,6,5,5,5,5,3,4,Man,FALSE,1,TRUE,4,4,4,4,4,4,4,4,4,4,5,5,3,4,4.25,3,6,5,5,4.75,0,0,0,0,0,2,-1,-2,-1,-0.5
TRUE,the Democratic Party,TRUE,NA,NA,NA,The weather that day,Maybe local politics about councilpeople in Boston,How the bus is that day,1,1,1,1,5,5,4,3,1,1,1,1,3,3,1,4,Man,TRUE,1,TRUE,5,5,4,3,4.25,1,1,1,1,1,3,3,1,4,2.75,1,1,1,1,1,4,4,3,2,3.25,2,2,0,3,1.75
TRUE,the Democratic Party,FALSE,NA,NA,NA,Where we're going,where we're from / grew up,Family / who you're visiting,2,3,3,3,5,5,5,5,3,3,3,3,5,6,4,6,Non-binary,TRUE,3,TRUE,5,5,5,5,5,2,3,3,3,2.75,5,6,4,6,5.25,3,3,3,3,3,3,2,2,2,2.25,2,3,1,3,2.25
FALSE,the Democratic Party,FALSE,fall leaves,hiking trails,quaint towns,NA,NA,NA,2,2,2,2,6,6,6,6,3,3,4,3,3,6,4,6,NA,NA,NA,NA,6,6,6,6,6,2,2,2,2,2,3,6,4,6,4.75,3,3,4,3,3.25,4,4,4,4,4,0,3,0,3,1.5
TRUE,the Republican Party,FALSE,NA,NA,NA,Where are they traveling to?,Meeting any friends or family?,Are you a student? What do you study?,5,4,4,3,3,4,2,4,4,6,4,6,4,6,4,6,NA,NA,NA,NA,5,4,4,3,4,3,4,2,4,3.25,4,6,4,6,5,4,6,4,6,5,2,0,2,-1,0.75,0,0,0,0,0
FALSE,the Democratic Party,FALSE,Red-bricked buildings with increasing space between them and with less general upkeep than the ones in Cambridge.,"A highway with trees on both sides, ample billboards and many cars","Less cars, beautiful mountains, less billboards, more authentic",NA,NA,NA,3,5,3,5,5,4,2,5,5,4,4,3,5,5,3,5,Man,TRUE,2,TRUE,5,4,2,5,4,3,5,3,5,4,5,5,3,5,4.5,5,4,4,3,4,2,-1,-1,0,0,0,1,-1,2,0.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,Their hometown,Sports,Higher Ed,3,5,4,4,5,4,3,3,2,6,5,6,5,6,3,6,NA,NA,NA,NA,5,4,3,3,3.75,3,5,4,4,4,5,6,3,6,5,2,6,5,6,4.75,2,-1,-1,-1,-0.25,3,0,-2,0,0.25
FALSE,the Democratic Party,FALSE,Vibrant and warm autumnal leaves,Far-off mountains jutting through the rising fog,A flock of gannets plunging into the distant sea,NA,NA,NA,2,2,2,2,3,4,4,3,2,3,2,2,2,5,3,4,Man,TRUE,3,TRUE,3,4,4,3,3.5,2,2,2,2,2,2,5,3,4,3.5,2,3,2,2,2.25,1,2,2,1,1.5,0,2,1,2,1.25
TRUE,the Democratic Party,TRUE,NA,NA,NA,Where they are from,What their family is like,What they do for work/school,2,5,3,2,5,5,4,4,3,4,3,5,4,5,4,6,Woman,TRUE,4,TRUE,5,5,4,4,4.5,2,5,3,2,3,4,5,4,6,4.75,3,4,3,5,3.75,3,0,1,2,1.5,1,1,1,1,1
FALSE,the Democratic Party,TRUE,"Going over the Charles River, with buildings in the horizon",Sidewalks under buildings with lots of young people walking around in coats,Waiting in traffic on skinny roads,NA,NA,NA,3,3,4,3,6,6,5,6,2,4,3,3,6,5,4,6,Woman,TRUE,3,TRUE,6,6,5,6,5.75,3,3,4,3,3.25,6,5,4,6,5.25,2,4,3,3,3,3,3,1,3,2.5,4,1,1,3,2.25
TRUE,the Democratic Party,FALSE,NA,NA,NA,International War and Foreign Involvement (Ukraine),Gender Roles,Meritocracy,4,4,3,3,4,4,4,4,4,4,4,4,3,5,3,4,NA,NA,NA,NA,4,4,4,4,4,4,4,3,3,3.5,3,5,3,4,3.75,4,4,4,4,4,0,0,1,1,0.5,-1,1,-1,0,-0.25
FALSE,the Democratic Party,FALSE,The ocean,New England-style houses,Foliage,NA,NA,NA,6,3,3,3,4,5,5,5,2,3,3,3,3,5,4,5,NA,NA,NA,NA,4,5,5,5,4.75,6,3,3,3,3.75,3,5,4,5,4.25,2,3,3,3,2.75,-2,2,2,2,1,1,2,1,2,1.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,wildlife,the weather,"family, their siblings, etc.",NA,NA,NA,NA,2,3,3,4,5,4,3,3,2,7,2,5,Woman,TRUE,2,TRUE,2,3,3,4,3,NA,NA,NA,NA,NA,2,7,2,5,4,5,4,3,3,3.75,NA,NA,NA,NA,NA,-3,3,-1,2,0.25
TRUE,the Democratic Party,TRUE,NA,NA,NA,Career,Family,Sports?,4,4,4,4,6,5,5,5,3,4,4,3,5,5,4,4,Man,FALSE,2,TRUE,6,5,5,5,5.25,4,4,4,4,4,5,5,4,4,4.5,3,4,4,3,3.5,2,1,1,1,1.25,2,1,0,1,1
FALSE,the Democratic Party,FALSE,Fall foliage,New England style architecture houses,Sunlight,NA,NA,NA,4,4,4,4,4,4,4,4,NA,NA,NA,NA,5,5,4,5,Woman,FALSE,1,FALSE,4,4,4,4,4,4,4,4,4,4,5,5,4,5,4.75,NA,NA,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA
TRUE,the Democratic Party,FALSE,NA,NA,NA,"Depending on the stickers, that would probably be the point of conversation starting. In that case, we would talk about what the sticker indicators were.","With the current climate, potentially immigration","Economic politics, as I feel this is usually a conversation/topic that is used to support Trump",3,3,2,3,5,5,3,5,3,3,2,3,5,4,5,5,Woman,TRUE,4,TRUE,5,5,3,5,4.5,3,3,2,3,2.75,5,4,5,5,4.75,3,3,2,3,2.75,2,2,1,2,1.75,2,1,3,2,2
FALSE,the Democratic Party,FALSE,Trees,Rest stops,Construction,NA,NA,NA,5,4,4,4,5,4,4,4,3,3,4,4,4,4,4,4,Man,TRUE,4,FALSE,5,4,4,4,4.25,5,4,4,4,4.25,4,4,4,4,4,3,3,4,4,3.5,0,0,0,0,0,1,1,0,0,0.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,The stop they're getting off at,Their line of work,Their family,4,4,4,4,3,4,4,4,4,3,5,6,2,5,2,3,Man,FALSE,2,FALSE,3,4,4,4,3.75,4,4,4,4,4,2,5,2,3,3,4,3,5,6,4.5,-1,0,0,0,-0.25,-2,2,-3,-3,-1.5
TRUE,the Democratic Party,TRUE,NA,NA,NA,immigration,artificial intelligence,weather,2,5,4,4,5,4,4,5,3,4,3,3,3,5,3,4,Man,TRUE,1,TRUE,5,4,4,5,4.5,2,5,4,4,3.75,3,5,3,4,3.75,3,4,3,3,3.25,3,-1,0,1,0.75,0,1,0,1,0.5
FALSE,the Democratic Party,FALSE,Autumn Foliage,Cookie Cutter Houses,"Water, whether that be a river, lake, pond, ocean, etc .",NA,NA,NA,1,2,3,1,4,4,5,5,1,2,2,1,5,5,4,5,NA,NA,NA,NA,4,4,5,5,4.5,1,2,3,1,1.75,5,5,4,5,4.75,1,2,2,1,1.5,3,2,2,4,2.75,4,3,2,4,3.25
TRUE,the Democratic Party,TRUE,NA,NA,NA,How/where did they grow up and family life,Discuss a similar interest e.g. the outdoors,Talk about how things are different in Denmark vs the US,2,2,2,2,4,4,4,4,2,3,4,4,6,5,3,4,Woman,TRUE,2,FALSE,4,4,4,4,4,2,2,2,2,2,6,5,3,4,4.5,2,3,4,4,3.25,2,2,2,2,2,4,2,-1,0,1.25
FALSE,the Democratic Party,TRUE,Hills of trees with fall colors,"Lakes, ponds, or the ocean",old buildings like churches,NA,NA,NA,3,3,3,3,5,5,4,5,3,4,3,4,3,5,4,4,Woman,TRUE,3,TRUE,5,5,4,5,4.75,3,3,3,3,3,3,5,4,4,4,3,4,3,4,3.5,2,2,1,2,1.75,0,1,1,0,0.5
TRUE,the Republican Party,FALSE,NA,NA,NA,"Current events (i.e., government shutdown)",International relations and trade,Immigration and the border,6,5,4,6,5,5,4,6,4,5,4,4,6,3,2,4,Woman,TRUE,4,TRUE,6,5,4,6,5.25,5,5,4,6,5,4,5,4,4,4.25,6,3,2,4,3.75,1,0,0,0,0.25,-2,2,2,0,0.5
FALSE,the Democratic Party,TRUE,The leaves/trees,The river,People,NA,NA,NA,3,4,3,4,6,6,6,6,3,4,4,5,3,6,3,6,Woman,TRUE,2,TRUE,6,6,6,6,6,3,4,3,4,3.5,3,6,3,6,4.5,3,4,4,5,4,3,2,3,2,2.5,0,2,-1,1,0.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,"Where they are going, why they are going there, fi they have been there before, good restraunts in that area","Thier career, why they starteddoing the job, do they like it, what did their parents do","Pop culture + media, what sort of movies and book do they like, musi cthey are interested in",2,3,3,3,6,6,5,6,3,3,5,2,5,6,2,6,Woman,TRUE,2,TRUE,6,6,5,6,5.75,2,3,3,3,2.75,5,6,2,6,4.75,3,3,5,2,3.25,4,3,2,3,3,2,3,-3,4,1.5
FALSE,the Democratic Party,TRUE,The Fall Colors Leaves,Water/Charles River,Small Towns,NA,NA,NA,2,1,2,2,5,4,5,5,3,7,6,7,5,4,5,4,Man,FALSE,3,TRUE,5,4,5,5,4.75,2,1,2,2,1.75,5,4,5,4,4.5,3,7,6,7,5.75,3,3,3,3,3,2,-3,-1,-3,-1.25
FALSE,the Democratic Party,TRUE,Trees and foliage,Houses,Highways,NA,NA,NA,4,4,4,4,5,5,4,5,4,4,3,3,5,6,4,5,Woman,TRUE,4,TRUE,5,5,4,5,4.75,4,4,4,4,4,5,6,4,5,5,4,4,3,3,3.5,1,1,0,1,0.75,1,2,1,2,1.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,the bus fare,hometown,job,2,3,2,4,6,5,5,4,2,3,3,3,6,3,4,5,Man,FALSE,2,TRUE,6,5,5,4,5,2,3,2,4,2.75,6,3,4,5,4.5,2,3,3,3,2.75,4,2,3,0,2.25,4,0,1,2,1.75
FALSE,the Democratic Party,FALSE,blue sky,trees,grass,NA,NA,NA,3,3,4,3,5,4,4,5,3,5,5,5,4,5,3,4,Woman,TRUE,3,FALSE,5,4,4,5,4.5,3,3,4,3,3.25,4,5,3,4,4,3,5,5,5,4.5,2,1,0,2,1.25,1,0,-2,-1,-0.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,Their family,Plans for the day,Coffee orders,3,4,4,4,5,4,5,5,3,4,5,5,6,5,5,6,Woman,TRUE,4,TRUE,5,4,5,5,4.75,3,4,4,4,3.75,6,5,5,6,5.5,3,4,5,5,4.25,2,0,1,1,1,3,1,0,1,1.25
FALSE,the Democratic Party,FALSE,Rivers,Interesting people traveling on the bus with me,Nice clear sky,NA,NA,NA,4,3,3,4,3,3,4,4,5,3,6,4,1,6,4,5,Man,TRUE,2,TRUE,3,3,4,4,3.5,4,3,3,4,3.5,1,6,4,5,4,5,3,6,4,4.5,-1,0,1,0,0,-4,3,-2,1,-0.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,Why did they vote for a Republican?,Why are they going to their destination?,Why didn't they vote for a Democrat?,6,3,4,4,5,5,4,3,3,5,3,3,3,5,2,3,NA,NA,NA,NA,5,5,4,3,4.25,6,3,4,4,4.25,3,5,2,3,3.25,3,5,3,3,3.5,-1,2,0,-1,0,0,0,-1,0,-0.25
FALSE,the Democratic Party,FALSE,trees with autumnal leaves,suburban towns and small cities,"rivers, brooks, ponds, and streams",NA,NA,NA,1,1,1,1,5,5,3,3,2,3,3,2,4,4,4,4,Woman,TRUE,2,TRUE,5,5,3,3,4,1,1,1,1,1,4,4,4,4,4,2,3,3,2,2.5,4,4,2,2,3,2,1,1,2,1.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,food,government,quality of life,4,4,4,4,4,4,4,4,3,5,5,5,2,5,5,5,Woman,FALSE,3,TRUE,4,4,4,4,4,4,4,4,4,4,2,5,5,5,4.25,3,5,5,5,4.5,0,0,0,0,0,-1,0,0,0,-0.25
FALSE,the Democratic Party,FALSE,People talking,People sleeping,People eating,NA,NA,NA,4,4,4,4,4,4,4,4,4,3,4,4,4,5,4,4,NA,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4.25,4,3,4,4,3.75,0,0,0,0,0,0,2,0,0,0.5
TRUE,the Democratic Party,FALSE,NA,NA,NA,College experience,US Aid in international conflict,Housing renovations,6,6,2,6,6,5,3,4,1,3,6,6,7,4,3,5,Woman,TRUE,4,TRUE,6,5,3,4,4.5,6,6,2,6,5,7,4,3,5,4.75,1,3,6,6,4,0,-1,1,-2,-0.5,6,1,-3,-1,0.75
TRUE,the Democratic Party,FALSE,NA,NA,NA,I would ask them where they are originally from,what they were in Boston for,What they wanted to do in the future,3,4,3,3,4,5,4,4,4,4,3,3,3,5,4,4,Woman,FALSE,2,TRUE,4,5,4,4,4.25,3,4,3,3,3.25,3,5,4,4,4,4,4,3,3,3.5,1,1,1,1,1,-1,1,1,1,0.5
